date,q_m3s,q_mm,gap_length_days,q_m3s_clean,q_status,q_mm_clean
2000-07-27,18.6,3.8812703779736752,0,18.6,observed,3.8812703779736752
2000-07-28,18.6,3.8812703779736752,0,18.6,observed,3.8812703779736752
2000-07-29,17.8,3.714334017630721,0,17.8,observed,3.714334017630721
2000-07-30,17.8,3.714334017630721,0,17.8,observed,3.714334017630721
2000-07-31,17.8,3.714334017630721,0,17.8,observed,3.714334017630721
2000-08-01,17.3,3.6099987924163752,0,17.3,observed,3.6099987924163752
2000-08-02,18.6,3.8812703779736752,0,18.6,observed,3.8812703779736752
2000-08-03,18.6,3.8812703779736752,0,18.6,observed,3.8812703779736752
2000-08-04,19.5,4.069073783359498,0,19.5,observed,4.069073783359498
2000-08-05,19.9,4.152541963530974,0,19.9,observed,4.152541963530974
2000-08-06,20.8,4.340345368916798,0,20.8,observed,4.340345368916798
2000-08-07,22.1,4.611616954474098,0,22.1,observed,4.611616954474098
2000-08-08,23.4,4.882888540031397,0,23.4,observed,4.882888540031397
2000-08-09,23.0,4.79942035985992,0,23.0,observed,4.79942035985992
2000-08-10,22.1,4.611616954474098,0,22.1,observed,4.611616954474098
2000-08-11,21.7,4.528148774302621,0,21.7,observed,4.528148774302621
2000-08-12,21.7,4.528148774302621,0,21.7,observed,4.528148774302621
2000-08-13,22.6,4.715952179688444,0,22.6,observed,4.715952179688444
2000-08-14,22.1,4.611616954474098,0,22.1,observed,4.611616954474098
2000-08-15,20.8,4.340345368916798,0,20.8,observed,4.340345368916798
2000-08-16,19.9,4.152541963530974,0,19.9,observed,4.152541963530974
2000-08-17,19.0,3.964738558145152,0,19.0,observed,3.964738558145152
2000-08-18,18.6,3.8812703779736752,0,18.6,observed,3.8812703779736752
2000-08-19,17.3,3.6099987924163752,0,17.3,observed,3.6099987924163752
2000-08-20,17.3,3.6099987924163752,0,17.3,observed,3.6099987924163752
2000-08-21,15.7,3.2761260717304674,0,15.7,observed,3.2761260717304674
2000-08-22,15.3,3.1926578915589907,0,15.3,observed,3.1926578915589907
2000-08-23,14.9,3.109189711387514,0,14.9,observed,3.109189711387514
2000-08-24,14.9,3.109189711387514,0,14.9,observed,3.109189711387514
2000-08-25,14.1,2.9422533510445597,0,14.1,observed,2.9422533510445597
2000-08-26,14.1,2.9422533510445597,0,14.1,observed,2.9422533510445597
2000-08-27,14.1,2.9422533510445597,0,14.1,observed,2.9422533510445597
2000-08-28,14.1,2.9422533510445597,0,14.1,observed,2.9422533510445597
2000-08-29,14.9,3.109189711387514,0,14.9,observed,3.109189711387514
2000-08-30,15.7,3.2761260717304674,0,15.7,observed,3.2761260717304674
2000-08-31,15.7,3.2761260717304674,0,15.7,observed,3.2761260717304674
2000-09-01,15.3,3.1926578915589907,0,15.3,observed,3.1926578915589907
2000-09-02,15.3,3.1926578915589907,0,15.3,observed,3.1926578915589907
2000-09-03,14.9,3.109189711387514,0,14.9,observed,3.109189711387514
2000-09-04,14.1,2.9422533510445597,0,14.1,observed,2.9422533510445597
2000-09-05,14.1,2.9422533510445597,0,14.1,observed,2.9422533510445597
2000-09-06,13.7,2.858785170873083,0,13.7,observed,2.858785170873083
2000-09-07,13.7,2.858785170873083,0,13.7,observed,2.858785170873083
2000-09-08,13.3,2.775316990701606,0,13.3,observed,2.775316990701606
2000-09-09,12.5,2.6083806303586523,0,12.5,observed,2.6083806303586523
2000-09-10,11.7,2.4414442700156984,0,11.7,observed,2.4414442700156984
2000-09-11,11.4,2.378843134887091,0,11.4,observed,2.378843134887091
2000-09-12,10.6,2.211906774544137,0,10.6,observed,2.211906774544137
2000-09-13,9.88,2.0616640502354793,0,9.88,observed,2.0616640502354793
2000-09-14,9.52,1.9865426880811496,0,9.52,observed,1.9865426880811496
2000-09-15,9.16,1.9114213259268207,0,9.16,observed,1.9114213259268207
2000-09-16,8.8,1.8362999637724915,0,8.8,observed,1.8362999637724915
2000-09-17,8.8,1.8362999637724915,0,8.8,observed,1.8362999637724915
2000-09-18,8.8,1.8362999637724915,0,8.8,observed,1.8362999637724915
2000-09-19,8.8,1.8362999637724915,0,8.8,observed,1.8362999637724915
2000-09-20,8.8,1.8362999637724915,0,8.8,observed,1.8362999637724915
2000-09-21,8.8,1.8362999637724915,0,8.8,observed,1.8362999637724915
2000-09-22,8.8,1.8362999637724915,0,8.8,observed,1.8362999637724915
2000-09-23,8.45,1.763265306122449,0,8.45,observed,1.763265306122449
2000-09-24,8.45,1.763265306122449,0,8.45,observed,1.763265306122449
2000-09-25,8.1,1.6902306484724068,0,8.1,observed,1.6902306484724068
2000-09-26,8.1,1.6902306484724068,0,8.1,observed,1.6902306484724068
2000-09-27,8.1,1.6902306484724068,0,8.1,observed,1.6902306484724068
2000-09-28,7.75,1.6171959908223645,0,7.75,observed,1.6171959908223645
2000-09-29,7.4,1.5441613331723225,0,7.4,observed,1.5441613331723225
2000-09-30,6.4,1.33549088274363,0,6.4,observed,1.33549088274363
2000-10-01,6.08,1.2687163386064484,0,6.08,observed,1.2687163386064484
2000-10-02,6.08,1.2687163386064484,0,6.08,observed,1.2687163386064484
2000-10-03,5.43,1.1330805458277986,0,5.43,observed,1.1330805458277986
2000-10-04,5.43,1.1330805458277986,0,5.43,observed,1.1330805458277986
2000-10-05,5.43,1.1330805458277986,0,5.43,observed,1.1330805458277986
2000-10-06,5.12,1.0683927061949041,0,5.12,observed,1.0683927061949041
2000-10-07,4.8,1.0016181620577225,0,4.8,observed,1.0016181620577225
2000-10-08,4.8,1.0016181620577225,0,4.8,observed,1.0016181620577225
2000-10-09,4.2,0.8764158918005073,0,4.2,observed,0.8764158918005073
2000-10-10,4.2,0.8764158918005073,0,4.2,observed,0.8764158918005073
2000-10-11,4.2,0.8764158918005073,0,4.2,observed,0.8764158918005073
2000-10-12,4.2,0.8764158918005073,0,4.2,observed,0.8764158918005073
2000-10-13,4.2,0.8764158918005073,0,4.2,observed,0.8764158918005073
2000-10-14,4.2,0.8764158918005073,0,4.2,observed,0.8764158918005073
2000-10-15,4.2,0.8764158918005073,0,4.2,observed,0.8764158918005073
2000-10-16,4.2,0.8764158918005073,0,4.2,observed,0.8764158918005073
2000-10-17,4.2,0.8764158918005073,0,4.2,observed,0.8764158918005073
2000-10-18,4.2,0.8764158918005073,0,4.2,observed,0.8764158918005073
2000-10-19,4.2,0.8764158918005073,0,4.2,observed,0.8764158918005073
2000-10-20,3.67,0.7658205530733003,0,3.67,observed,0.7658205530733003
2000-10-21,3.67,0.7658205530733003,0,3.67,observed,0.7658205530733003
2000-10-22,3.67,0.7658205530733003,0,3.67,observed,0.7658205530733003
2000-10-23,3.67,0.7658205530733003,0,3.67,observed,0.7658205530733003
2000-10-24,3.67,0.7658205530733003,0,3.67,observed,0.7658205530733003
2000-10-25,3.67,0.7658205530733003,0,3.67,observed,0.7658205530733003
2000-10-26,3.67,0.7658205530733003,0,3.67,observed,0.7658205530733003
2000-10-27,3.67,0.7658205530733003,0,3.67,observed,0.7658205530733003
2000-10-28,3.23,0.6740055548846757,0,3.23,observed,0.6740055548846757
2000-10-29,3.23,0.6740055548846757,0,3.23,observed,0.6740055548846757
