date,precipitation_mm,temperature_degC,pet_mm
1981-12-19,0.1421,-7.5939,0.0
1981-12-20,0.1356,-6.2348,0.0
1981-12-21,0.0804,-8.1495,0.0
1981-12-22,3.7898,-10.3553,0.0
1981-12-23,1.1775,-12.7505,0.0
1981-12-24,1.4355,-9.9641,0.0
1981-12-25,4.5438,-10.7126,0.0
1981-12-26,1.0658,-12.6693,0.0
1981-12-27,0.1351,-12.9593,0.0
1981-12-28,1.8209,-11.2103,0.0
1981-12-29,0.79,-10.6028,0.0
1981-12-30,0.5982,-9.9275,0.0
1981-12-31,0.4486,-13.7891,0.0
1982-01-01,0.0294,-13.5835,0.0
1982-01-02,0.0026,-12.5784,0.0
1982-01-03,0.8046,-10.0155,0.0
1982-01-04,0.0246,-9.7692,0.0
1982-01-05,1.5456,-8.3781,0.0
1982-01-06,0.0436,-8.4583,0.0
1982-01-07,0.0823,-6.58,0.0
1982-01-08,0.327,-4.4324,0.029302772838498997
1982-01-09,0.483,-5.6643,0.0
1982-01-10,0.1491,-7.2052,0.0
1982-01-11,1.3226,-9.3126,0.0
1982-01-12,0.0316,-9.045,0.0
1982-01-13,0.923,-11.1326,0.0
1982-01-14,0.0067,-11.4377,0.0
1982-01-15,0.0013,-9.4816,0.0
1982-01-16,0.0166,-9.414,0.0
1982-01-17,0.0159,-7.9708,0.0
1982-01-18,2.2564,-9.1886,0.0
1982-01-19,0.4301,-16.7875,0.0
1982-01-20,0.3536,-16.6773,0.0
1982-01-21,0.4684,-18.472,0.0
1982-01-22,0.4049,-18.8678,0.0
1982-01-23,0.0461,-18.6471,0.0
1982-01-24,0.0017,-16.8682,0.0
1982-01-25,0.0004,-14.957,0.0
1982-01-26,0.1402,-13.3285,0.0
1982-01-27,0.0098,-15.0103,0.0
1982-01-28,0.0069,-14.0117,0.0
1982-01-29,0.1798,-11.4744,0.0
1982-01-30,2.7733,-8.9737,0.0
1982-01-31,1.0803,-11.5076,0.0
1982-02-01,0.5305,-10.9031,0.0
1982-02-02,1.5949,-8.0486,0.0
1982-02-03,0.9086,-11.0109,0.0
1982-02-04,0.0229,-12.8105,0.0
1982-02-05,0.0018,-10.8594,0.0
1982-02-06,1.6098,-10.8706,0.0
1982-02-07,0.8589,-15.3489,0.0
1982-02-08,0.0185,-14.7072,0.0
1982-02-09,0.1732,-12.941,0.0
1982-02-10,0.8997,-13.2887,0.0
1982-02-11,2.846,-17.2574,0.0
1982-02-12,0.0512,-17.7526,0.0
1982-02-13,0.0014,-14.7611,0.0
1982-02-14,0.0024,-11.532,0.0
1982-02-15,1.0713,-8.1252,0.0
1982-02-16,2.2049,-12.9639,0.0
1982-02-17,0.5329,-14.3824,0.0
1982-02-18,0.0023,-12.8738,0.0
1982-02-19,0.1305,-11.4968,0.0
1982-02-20,1.9449,-14.9648,0.0
1982-02-21,0.1458,-15.3396,0.0
1982-02-22,0.0356,-11.6602,0.0
1982-02-23,0.8095,-13.5451,0.0
1982-02-24,1.3055,-14.8202,0.0
1982-02-25,0.0523,-13.4442,0.0
1982-02-26,0.4601,-8.8834,0.0
1982-02-27,0.8781,-7.9329,0.0
1982-02-28,1.5947,-9.1196,0.0
1982-03-01,1.2205,-12.3104,0.0
1982-03-02,0.0087,-11.3697,0.0
1982-03-03,0.0013,-9.2522,0.0
1982-03-04,0.0017,-8.0139,0.0
1982-03-05,0.0013,-9.2608,0.0
1982-03-06,0.1937,-9.8414,0.0
1982-03-07,0.3092,-10.6384,0.0
1982-03-08,0.0148,-9.6857,0.0
1982-03-09,0.004,-10.0785,0.0
1982-03-10,0.0022,-8.6028,0.0
1982-03-11,0.1613,-7.2622,0.0
1982-03-12,0.22,-5.7327,0.0
1982-03-13,2.6542,-5.5877,0.0
1982-03-14,7.2161,-6.8077,0.0
1982-03-15,0.6009,-6.7527,0.0
1982-03-16,5.0594,-7.6928,0.0
1982-03-17,4.892,-12.8195,0.0
1982-03-18,0.0624,-12.5776,0.0
1982-03-19,0.8649,-6.5227,0.0
1982-03-20,10.2045,-4.5696,0.0479913941567178
1982-03-21,6.8907,-7.492,0.0
1982-03-22,1.7297,-9.5595,0.0
1982-03-23,0.0417,-8.0332,0.0
1982-03-24,0.0,-5.929,0.0
1982-03-25,0.0,-4.8216,0.020866493262245964
1982-03-26,1.138,-4.5663,0.051197240492320384
1982-03-27,0.8389,-6.3495,0.0
1982-03-28,5.6892,-5.4053,0.0
1982-03-29,3.5325,-6.8224,0.0
1982-03-30,0.4032,-6.6274,0.0
1982-03-31,0.0072,-5.8676,0.0
1982-04-01,0.0134,-3.7447,0.15622230269674628
1982-04-02,0.0684,-2.0562,0.369441394338289
1982-04-03,4.3978,-5.185,0.0
1982-04-04,13.4128,-12.8317,0.0
1982-04-05,0.0215,-14.3609,0.0
1982-04-06,0.0013,-6.7948,0.0
1982-04-07,0.0009,-2.5719,0.31719681545014033
1982-04-08,0.0004,-0.859,0.5451242508791214
1982-04-09,0.0022,0.4952,0.7288690291191844
1982-04-10,0.0008,1.98,0.9327062444130836
1982-04-11,1.9946,-0.0299,0.6689996207478954
1982-04-12,0.8752,0.2395,0.7103457242776923
1982-04-13,1.5166,0.6956,0.7776543171161945
1982-04-14,0.4496,-0.0575,0.6795306929167604
1982-04-15,3.1666,-1.5601,0.4761806616075015
1982-04-16,0.0894,-1.7678,0.45043910347519894
1982-04-17,0.0009,-0.0796,0.6902377913239183
1982-04-18,0.0021,3.5661,1.209457569834381
1982-04-19,0.0024,3.9788,1.2758036930404697
1982-04-20,0.3635,3.2296,1.1766611625995291
1982-04-21,1.6744,4.1757,1.3199829043885893
1982-04-22,2.611,3.3855,1.213567540604504
1982-04-23,0.0698,1.8854,1.0023508097746197
1982-04-24,0.0013,2.9969,1.1708944112105888
1982-04-25,0.0044,0.2765,0.7769581946186168
1982-04-26,0.9024,1.4249,0.9513144659970576
1982-04-27,4.1065,2.1962,1.0713159965660228
1982-04-28,1.0557,2.5646,1.1321600621247847
1982-04-29,0.2523,3.0194,1.2064861619530418
